id,hits
200753,60
200946,60
100374,60
100981,60
100665,60
200065,60
100109,60
101423,60
101052,60
200232,59
101558,59
200221,59
102092,59
201503,59
101386,59
100248,59
100594,59
200567,59
100052,59
200038,59
102072,59
200663,59
100814,59
100484,59
100690,59
102078,59
100705,58
201081,58
200295,58
201231,58
101947,58
100747,58
101510,58
101540,58
200242,58
100526,57
101436,57
100025,57
200924,57
100178,57
101842,57
200078,57
100873,57
200477,57
101169,57
200943,56
200724,56
200403,56
100165,56
100995,56
101277,56
200273,56
100612,56
101443,55
101303,55
200929,55
200090,55
102212,55
100861,55
100342,55
102084,55
100790,55
100400,55
101490,54
200127,54
100416,54
200421,54
201073,54
200080,54
200343,54
201036,54
101794,54
100868,54
100071,53
102142,53
100217,53
100494,53
200091,53
101777,53
101533,53
200786,53
100159,53
200501,53
102107,53
200468,52
200620,52
201322,52
102153,52
200911,52
100704,52
101821,52
201101,52
200678,52
101691,52
100847,51
102202,51
101276,51
201195,51
200437,51
102095,51
101318,51
200173,51
200830,51
201103,51
100365,51
102130,51
100920,51
100587,51
100948,51
201116,50
200963,50
200483,50
200122,50
100129,50
100632,50
200954,50
100393,50
101270,50
100425,50
201042,50
201006,50
201381,49
200386,49
102149,49
101242,49
100496,49
200245,49
100271,49
101661,49
101114,49
101545,49
201064,48
201182,48
101312,48
200284,48
100054,48
200590,48
200829,48
101858,48
102197,48
201196,48
200406,48
101737,48
200957,47
100954,47
200609,47
101239,47
101164,47
200432,47
101037,47
101746,47
100418,47
101710,47
201270,47
201466,46
201014,46
201100,46
200368,46
100943,46
102173,46
200085,46
101079,46
101605,46
201372,46
100125,46
101246,46
101624,46
101530,46
200434,46
201390,45
100163,45
101299,45
102183,45
100522,45
101781,45
100061,45
101614,45
200301,45
200932,45
101478,45
200914,45
101804,45
100562,45
101827,45
102129,45
200079,45
201055,44
101431,44
200239,44
200346,44
200392,44
201237,44
200632,44
101505,44
102088,44
100729,44
101622,44
200440,44
200575,44
101120,44
201171,43
200616,43
201341,43
100708,43
200849,43
101965,43
101693,43
101305,43
101260,43
201089,43
100738,43
200143,43
200625,43
101648,43
200989,43
200251,43
100087,43
101790,43
102116,43
200428,43
200063,42
200066,42
100853,42
200839,42
101083,42
101861,42
100996,42
101974,42
201000,42
100089,42
100262,42
100090,42
100742,42
200113,42
101050,42
100910,42
201490,42
100741,42
101972,42
100552,42
200622,41
100691,41
100564,41
201224,41
200544,41
100258,41
101921,41
101331,41
100554,41
200092,41
200639,41
100475,41
101082,41
101987,41
200780,41
101519,41
200520,41
200903,40
101434,40
101744,40
101011,40
100182,40
200709,40
100427,40
201347,40
200462,40
101255,40
201205,40
201199,40
200803,40
201442,40
101314,40
200354,40
200158,40
101731,40
101352,40
101206,40
101109,40
102127,40
100016,40
100541,39
100697,39
100548,39
102074,39
201110,39
200519,39
100516,39
200549,39
200500,39
100724,39
102111,39
200600,39
101904,39
100502,39
201344,39
100364,39
101574,39
200117,38
200020,38
200952,38
200353,38
101703,38
201407,38
100777,38
100537,38
100162,38
101209,38
101999,38
200624,38
200252,38
200589,38
200857,38
201464,38
200299,38
200706,38
201319,38
100104,38
201186,37
100781,37
102015,37
200684,37
100009,37
200075,37
201452,37
100736,37
200584,37
201253,37
100367,37
201065,37
200934,37
101460,37
200387,37
100321,37
102062,37
201492,37
200955,37
101629,37
200956,37
101704,36
200764,36
200415,36
200181,36
201013,36
201021,36
100191,36
100429,36
101650,36
200377,36
102150,36
201305,36
100044,36
101888,36
200461,36
101824,36
201029,36
201075,36
200748,36
200887,36
102206,36
100773,36
201434,36
100513,36
100230,36
100501,36
200856,36
100857,36
100979,35
201244,35
101902,35
200730,35
101539,35
200448,35
200982,35
101979,35
200400,35
101468,35
